text,label,label_name
"MISSING 4 Low 11 stats windows_eventchannel Win11Client C:\\WINDOWS\\Explorer.EXE C:\\Users\\snell\\AppData\\Local\\Temp\\xml_file (195).xml:StreamedFileState SOCLAB\\snell ""File stream created:
RuleName: -
UtcTime: 2025-07-04 16:05:49.340
ProcessGuid: {ff3427f9-f509-6867-d100-000000001300}
ProcessId: 2828
Image: C:\WINDOWS\Explorer.EXE
TargetFilename: C:\Users\snell\AppData\Local\Temp\xml_file (195).xml:StreamedFileState
CreationUtcTime: 2025-07-04 16:05:49.296
Hash: SHA1=7D0C313EF35B7FB45B505F4FCEB74717E82F9EAD,MD5=8ED7A145F11B16A13948C4DC698CCB29,SHA256=CB5B57BDF44D7822BD72A985BE3D6B535884DD4419D53B9EFEB09A22A9694C43,IMPHASH=00000000000000000000000000000000
Contents: 
User: SOCLAB\snell"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational The average number of logs between 16:00 and 17:00 is 2018. We reached 5047. EventChannel",0,FP
"Suspicious Windows cmd shell execution 3 Low Suspicious Windows cmd shell execution 92032 sysmon sysmon_eid1_detections windows windows_eventchannel Win11Client wmic  useraccount get /ALL \""cmd.exe\"" /c cmd.exe /C whoami &amp; wmic useraccount get /ALL &amp; quser /SERVER:\""localhost\"" &amp; quser &amp; qwinsta.exe /server:localhost &amp; qwinsta.exe &amp; for /F \""tokens=1,2\"" %i in ('qwinsta /server:localhost ^| findstr \""Active Disc\""') do @echo %i | find /v \""#\"" | find /v \""console\"" || echo %j &gt; computers.txt &amp; @FOR /F %n in (computers.txt) DO @FOR /F \""tokens=1,2\"" %i in ('qwinsta /server:%n ^| findstr \""Active Disc\""') do @echo %i | find /v \""#\"" | find /v \""console\"" || echo %j &gt; usernames.txt C:\\Windows\\System32\\wbem\\WMIC.exe C:\\Windows\\System32\\cmd.exe SOCLAB\\snell ""Process Create:
RuleName: technique_id=T1059,technique_name=Command-Line Interface
UtcTime: 2025-07-05 13:02:35.297
ProcessGuid: {ff3427f9-226b-6869-9301-000000001500}
ProcessId: 8536
Image: C:\Windows\System32\wbem\WMIC.exe
FileVersion: 10.0.26100.3323 (WinBuild.160101.0800)
Description: WMI Commandline Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wmic.exe
CommandLine: wmic  useraccount get /ALL 
CurrentDirectory: C:\Users\snell\AppData\Local\Temp\
User: SOCLAB\snell
LogonGuid: {ff3427f9-2071-6869-6f2f-080000000000}
LogonId: 0x82F6F
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA1=D5AE0D13127AE8A7F872F5F3A835D6E217C44A86,MD5=76739CA32A2D852E9953BFC5AD0FDC08,SHA256=9C439179991319D1C6BE5ECD50C01738F9DE6B5EE9E8702FEE612E725C086F9F,IMPHASH=43C6BE584D77B658A53A9A5C606724DD
ParentProcessGuid: {ff3427f9-226b-6869-8f01-000000001500}
ParentProcessId: 9176
ParentImage: C:\Windows\System32\cmd.exe
ParentCommandLine: ""cmd.exe"" /c cmd.exe /C whoami & wmic useraccount get /ALL & quser /SERVER:""localhost"" & quser & qwinsta.exe /server:localhost & qwinsta.exe & for /F ""tokens=1,2"" %i in ('qwinsta /server:localhost ^| findstr ""Active Disc""') do @echo %i | find /v ""#"" | find /v ""console"" || echo %j > computers.txt & @FOR /F %n in (computers.txt) DO @FOR /F ""tokens=1,2"" %i in ('qwinsta /server:%n ^| findstr ""Active Disc""') do @echo %i | find /v ""#"" | find /v ""console"" || echo %j > usernames.txt
ParentUser: SOCLAB\snell"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational EventChannel",1,TP
"Shellshock attack detected 15 Critical Shellshock attack detected 31168 web accesslog attack web-accesslog Linux-Server 10.0.2.8 - - [08/Jul/2025:19:19:49 +0000] ""GET / HTTP/1.1"" 200 10926 ""-"" ""() { :; }; /bin/cat /etc/passwd"" /var/log/apache2/access.log",1,TP
PAM: User login failed. 5 Low PAM: User login failed. 5503 pam syslog authentication_failed pam Linux-Server Jul 04 15:23:22 Linux-Server sshd[2307]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=10.0.2.2  user=vboxuser journald,0,FP
Suricata: Alert - ET WEB_SERVER Possible CVE-2014-6271 Attempt 3 Low Suricata: Alert - ET WEB_SERVER Possible CVE-2014-6271 Attempt 86601 ids suricata json Suricata /var/log/suricata/eve.json,1,TP
"Explorer process was accessed by C:\\Users\\snell\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe, possible process injection 12 High Explorer process was accessed by C:\\Users\\snell\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe, possible process injection 92910 sysmon sysmon_eid10_detections windows windows_eventchannel Win11Client ""Process accessed:
RuleName: technique_id=T1036,technique_name=Masquerading
UtcTime: 2025-06-29 12:02:50.309
SourceProcessGUID: {ff3427f9-2a38-6861-5501-000000001000}
SourceProcessId: 7444
SourceThreadId: 2212
SourceImage: C:\Users\snell\AppData\Local\Microsoft\OneDrive\OneDrive.exe
TargetProcessGUID: {ff3427f9-29bd-6861-f800-000000001000}
TargetProcessId: 5648
TargetImage: C:\WINDOWS\Explorer.EXE
GrantedAccess: 0x101411
CallTrace: C:\WINDOWS\SYSTEM32\ntdll.dll+161fc4|C:\WINDOWS\System32\KERNELBASE.dll+c5b66|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncClient.dll+603421|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncClient.dll+8ab08|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncClient.dll+8a8cd|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncClient.dll+8a7b9|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncEvents.dll+f0e0|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncHost.DLL+d89f|C:\Users\snell\AppData\Local\Microsoft\OneDrive\25.105.0601.0002\FileSyncHost.DLL+10145|C:\WINDOWS\System32\ucrtbase.dll+37b0|C:\WINDOWS\System32\KERNEL32.DLL+2e8d7|C:\WINDOWS\SYSTEM32\ntdll.dll+3c34c
SourceUser: SOCLAB\snell
TargetUser: SOCLAB\snell"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational EventChannel",0,FP
"Powershell process spawned powershell instance 4 Low Powershell process spawned powershell instance 92027 sysmon sysmon_eid1_detections windows windows_eventchannel Win11Client \""C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\"" &amp; {if (test-path \\\""\""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\T1059_003note.txt\\\""\""){exit 0} else {exit 1}} \""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\"" C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe SOCLAB\\snell ""Process Create:
RuleName: technique_id=T1086,technique_name=PowerShell
UtcTime: 2025-07-04 19:08:20.471
ProcessGuid: {ff3427f9-26a4-6868-f801-000000001400}
ProcessId: 9808
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.26100.3323 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: ""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (test-path \""""C:\AtomicRedTeam\atomics\..\ExternalPayloads\T1059_003note.txt\""""){exit 0} else {exit 1}} 
CurrentDirectory: C:\Users\snell\AppData\Local\Temp\
User: SOCLAB\snell
LogonGuid: {ff3427f9-1e7f-6868-f045-0a0000000000}
LogonId: 0xA45F0
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA1=8B595BBBF8695CE90EEEA612B440ECC79ACC6C5D,MD5=BD542C1197F3B5217B5C5B5C4A25BD0C,SHA256=75F490D70F821AFBBBB28D8AE45FA712C0EF39F73832AF5FF0DF284BEB22A9FC,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77
ParentProcessGuid: {ff3427f9-2077-6868-5c01-000000001400}
ParentProcessId: 9196
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: SOCLAB\snell"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational EventChannel",1,TP
"Executable dropped in Windows root folder 6 Low Executable dropped in Windows root folder 92217 sysmon sysmon_eid11_detections windows windows_eventchannel Win11Client C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Temp\\2b9c-0\\TaskScheduler.dll NT AUTHORITY\\SYSTEM ""File created:
RuleName: technique_id=T1047,technique_name=File System Permissions Weakness
UtcTime: 2025-06-29 12:18:11.149
ProcessGuid: {ff3427f9-2f02-6861-6603-000000001000}
ProcessId: 11164
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_64\Temp\2b9c-0\TaskScheduler.dll
CreationUtcTime: 2025-06-29 12:18:11.149
User: NT AUTHORITY\SYSTEM"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational EventChannel",0,FP
"Logon Failure - Unknown user or bad password 5 Low Logon Failure - Unknown user or bad password 60122 windows windows_security authentication_failed windows_eventchannel WinSrv2019 ""An account failed to log on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		WINSRV2019$
	Account Domain:		SOCLAB
	Logon ID:		0x3E7

Logon Type:			8

Account For Which Logon Failed:
	Security ID:		S-1-0-0
	Account Name:		administrator@soclab.internal
	Account Domain:		

Failure Information:
	Failure Reason:		Unknown user name or bad password.
	Status:			0xC000006D
	Sub Status:		0xC000006A

Process Information:
	Caller Process ID:	0xf44
	Caller Process Name:	C:\Windows\System32\OpenSSH\sshd.exe

Network Information:
	Workstation Name:	WINSRV2019
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon request fails. It is generated on the computer where access was attempted.

The Subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The Logon Type field indicates the kind of logon that was requested. The most common types are 2 (interactive) and 3 (network).

The Process Information fields indicate which account and process on the system requested the logon.

The Network Information fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The authentication information fields provide detailed information about this specific logon request.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."" AUDIT_FAILURE Microsoft-Windows-Security-Auditing Security EventChannel",0,FP
"Application Compatibility Database launched 12 High Application Compatibility Database launched 92058 sysmon sysmon_eid1_detections windows windows_eventchannel Win11Client C:\\WINDOWS\\System32\\sdbinst.exe -m -bg C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p C:\\Windows\\System32\\sdbinst.exe C:\\Windows\\System32\\svchost.exe NT AUTHORITY\\SYSTEM ""Process Create:
RuleName: technique_id=T1546.011,technique_name=Application Shimming
UtcTime: 2025-07-04 16:37:28.336
ProcessGuid: {ff3427f9-0348-6868-c501-000000001300}
ProcessId: 2108
Image: C:\Windows\System32\sdbinst.exe
FileVersion: 10.0.26100.4202 (WinBuild.160101.0800)
Description: Application Compatibility Database Installer
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: sdbinst.exe
CommandLine: C:\WINDOWS\System32\sdbinst.exe -m -bg
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {ff3427f9-f4b7-6867-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA1=9B6CFCEC6447B8B6A8577B3B38B56B54932DB155,MD5=26543039B49E72BCEF16952574B727F1,SHA256=07AC8EC62231A05CC715A276BF4506F10136C4D8C93555245A8FD86D175D794C,IMPHASH=1B6EE3C1899EA90A8A3811555E1DA64E
ParentProcessGuid: {ff3427f9-f4b8-6867-1500-000000001300}
ParentProcessId: 1244
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
ParentUser: NT AUTHORITY\SYSTEM"" INFORMATION Microsoft-Windows-Sysmon Microsoft-Windows-Sysmon/Operational EventChannel",0,FP
